"Severity","Distance.mi.","Description","Start_Lat","Start_Lng","City","County","State","Start_Time","End_Time","Timezone","Temperature.F.","Wind_Chill.F.","Humidity...","Pressure.in.","Visibility.mi.","Wind_Direction","Wind_Speed.mph.","Precipitation.in.","Weather_Condition","Amenity","Bump","Crossing","Junction","No_Exit","Traffic_Calming","Traffic_Signal","Duration","Time_of_Day"
1,0,"Crash on FL-589-TOLL Veterans Expy Southbound near Exit 10 Ehrlich Rd.",28.078535,-82.562172,"Tampa","Hillsborough","FL","2022-05-18 05:30:00","2022-05-18 06:27:52","US/Eastern",76,76,87,29.97,8,"CALM",0,0,"Fair","False","False","False","False","False","False","True",57.8666666666667,"Night"
1,0,"Crash on FL-64 at 57th St.",27.494221,-82.490891,"Bradenton","Manatee","FL","2022-08-02 08:07:40","2022-08-02 09:05:03","US/Eastern",80,80,87,30.06,10,"S",5,0,"Partly Cloudy","False","False","True","False","False","False","True",57.3833333333333,"Night"
1,0,"Crash on Mudd Ave at Park Ave.",30.232321,-92.007469,"Lafayette","Lafayette","LA","2022-07-25 09:33:23","2022-07-25 10:02:51","US/Central",88,88,72,30.04,10,"SE",5,0,"Mostly Cloudy","False","False","False","False","False","False","False",29.4666666666667,"Night"
1,0,"At Jupiter Blvd - Accident.",27.98752,-80.67213,"Palm Bay","Brevard","FL","2020-04-23 09:53:33","2020-04-23 10:23:33","US/Eastern",81,81,62,29.97,10,"S",14,0,"Partly Cloudy","False","False","True","False","False","False","True",30,"Night"
1,0,"Crash on US-290 at Oaks.",30.2143,-97.965797,"Austin","Travis","TX","2022-05-17 10:36:09","2022-05-17 11:20:50","US/Central",82,82,56,29.28,10,"VAR",5,0,"Fair","False","False","False","False","False","False","False",44.6833333333333,"Morning"
1,0,"At Esplanade Ave - Accident.",29.96715,-90.07035,"New Orleans","Orleans","LA","2020-03-27 11:45:21","2020-03-27 12:20:19","US/Pacific",83,83,72,29.92,10,"S",13,0,"Mostly Cloudy","False","False","False","False","False","False","False",34.9666666666667,"Morning"
1,0,"Crash on Hemphill St at Benrus Blvd.",29.45628,-98.585121,"San Antonio","Bexar","TX","2022-07-18 04:54:44","2022-07-18 05:24:33","US/Central",74,74,84,29.22,8,"SSE",3,0,"Fair","False","False","False","False","False","False","False",29.8166666666667,"Night"
1,0,"Crash on IL-38 Roosevelt Rd at I-355 Exit 24.",41.859158,-88.040924,"Glen Ellyn","DuPage","IL","2022-05-20 07:54:30","2022-05-20 08:54:21","US/Central",70,70,81,28.64,9,"S",14,0,"Partly Cloudy","False","False","False","False","False","False","False",59.85,"Night"
1,0,"Crash on Main St at US-1 Columbia Ave.",33.91671,-81.511902,"Leesville","Lexington","SC","2022-05-26 08:48:24","2022-05-26 09:51:49","US/Eastern",76,76,85,29.6,10,"S",8,0,"Mostly Cloudy","False","False","True","False","False","False","False",63.4166666666667,"Night"
1,0,"At I-10 - Accident.",32.07992,-110.80696,"Tucson","Pima","AZ","2020-03-20 19:48:48","2020-03-20 20:33:48","US/Mountain",62,62,38,27.28,10,"NW",9,0,"Fair","False","False","False","False","False","False","False",45,"Evening"
1,0,"Right hand shoulder blocked due to crash on I-680 Southbound at Exit 48 Treat Blvd.",37.92329,-122.061317,"Walnut Creek","Contra Costa","CA","2022-07-05 07:52:13","2022-07-05 08:53:05","US/Pacific",69,69,75,29.89,10,"WSW",7,0,"Cloudy","False","False","False","False","False","False","False",60.8666666666667,"Night"
